feature,mean_abs_shap
PAY_0,0.50416774
avg_utilization,0.16743118
BILL_AMT1,0.15531419
LIMIT_BAL,0.13842817
PAY_AMT2,0.12258649
PAY_AMT1,0.1124115
PAY_2,0.11075845
PAY_AMT3,0.10328722
PAY_3,0.088760965
pay_trend,0.06307284
PAY_AMT6,0.057738155
MARRIAGE,0.05630819
PAY_AMT4,0.054886322
PAY_AMT5,0.052287217
credit_limit_to_income_proxy,0.051074535
PAY_4,0.045343835
SEX,0.04521381
BILL_AMT5,0.042577796
PAY_5,0.041267574
BILL_AMT6,0.039057527
BILL_AMT3,0.038622774
BILL_AMT4,0.036752034
PAY_6,0.036424708
AGE,0.035655417
EDUCATION,0.033551283
BILL_AMT2,0.031022238
